Argument ID	Conclusion Chinese	Premise Chinese	URL
C26001	我们应该取消996的加班制度	996对你赚钱的提升效率很低。你如果依靠996赚钱，本质上就是靠拼命、卖身，赚钱。	https://www.zhihu.com/question/438516757
C26002	我们应该取消996的加班制度	996让你没有学习和进步的空间，永远陷于“老鼠陷阱”里。	https://www.zhihu.com/question/438516757
C26003	我们应该取消996的加班制度	对于农民来说，进城打工就是一种福报；对于建筑工人来说，能干上个技术工种就是福报；对于所有这些人来说，能去互联网大厂996就是福报，十二小时一周六天，还能歇一天，挺好。	https://www.zhihu.com/question/438516757
C26004	我们应该取消996的加班制度	996违反了劳动法。	https://www.zhihu.com/question/438516757
C26005	我们应该取消996的加班制度	企业管理层追求利益最大化，一个企业想要盈利无非是扩大产能，开发新需求，降低经营成本，扩大产能需要投入研发资金，开发新需求需要抢夺市场，两者都是不可控因素，而唯独降低经营成本是可控的，至少在人工成本上中国还是红利期，	https://www.zhihu.com/question/438516757
C26006	我们应该放弃研发新能源汽车	提速较快, 比起燃油车动力部分,电动汽车通过电机驱动，启动时则直接最大扭矩。	https://www.zhihu.com/question/397751632/answer/1269200779
C26007	我们应该放弃研发新能源汽车	电动汽车的智能化程度，较之于燃油车高出很多。	https://www.zhihu.com/question/397751632/answer/1269200779
C26008	我们应该放弃研发新能源汽车	于汽车生命周期而言，电动汽车较之于燃油车，用车费用会便宜很多	https://www.zhihu.com/question/397751632/answer/1269200779
C26009	我们应该放弃研发新能源汽车	电动汽车电池的开发，本身就是高污染行业。甚至电池如果无法回收，将带来非常严重的污染	https://www.zhihu.com/question/397751632/answer/1269200779
C26010	我们应该放弃研发新能源汽车	市场导向难。在没有补贴，没有限牌限购，双积分等政策后，纯粹市场经济，纯电动汽车是否仍然能平稳增长？面临的消费者信心低、成本高昂、以及技术瓶颈等问题，仍然需要走很长的路。	https://www.zhihu.com/question/397751632/answer/1269200779
C26011	我们应该放弃研发新能源汽车	尽管动力电池目前国内以宁德时代为首的市占率极高，但其能量密度相对不高、成本高、寿命低及稳定性不高，电池行业能否突破技术瓶颈，或寻得高性价比替代产品？	https://www.zhihu.com/question/397751632/answer/1269200779
C26012	我们应该放弃研发新能源汽车	充电基础设施建设不完善。当前中国电动车桩比例仅3.5:1，距离1:1仍然有差距。身为用户，最怕的就是续航忧虑	https://www.zhihu.com/question/397751632/answer/1269200779
C26013	我们应该放弃研发新能源汽车	用户信心低，这一点源于以上所有不足点。所有对新事物接受程度低，甚至来源于早先的丑闻事件。种种打击，加上弊端，让纯电动汽车艰难重重。	https://www.zhihu.com/question/397751632/answer/1269200779
C26014	我们应该禁止虚拟货币的交易。	火币在中国出过的”事故“并不少，”拔网线“是常态，每个月都有维权者在海南火币网下进行维权。除此之外由于火币的风控和反洗钱做得比较差，火币经常是不法分子的洗钱渠道，在很多官媒很多报道中都有迹可循。要说和普通人息息相关的就数“冻卡”了，冻卡少则一周多则半年，对个人生活影响巨大。	https://www.zhihu.com/question/488759941/answer/2137722091
C26015	我们应该禁止虚拟货币的交易。	虚拟货币已经成为国家重点打击的目标。多个部委屡次强调要打击虚拟货币，既是为了保证碳达峰碳中和的顺利推进，也是为了保护国家金融秩序	https://www.zhihu.com/question/488759941/answer/2137722091
C26016	我们应该禁止虚拟货币的交易。	虚拟货币在中国不受合同法、物权法的保护。	https://www.zhihu.com/question/488759941/answer/2137722091
C26017	我们应该禁止虚拟货币的交易。	数字货币也一样，不仅不能创造外汇，还会造成外汇外流	https://www.zhihu.com/question/488759941/answer/2137722091
C26018	我们应该禁止虚拟货币的交易。	虚拟货币相关业务活动属于非法金融活动，境外虚拟货币交易所通过互联网向我国境内居民提供服务同样属于非法金融活动	https://www.zhihu.com/question/488759941/answer/2137722091
C26019	我们应该禁止虚拟货币的交易。	虚拟币创造并不能为市场提供相应价值的商品，但却可以通过获得下家贡献的法币而享受市场的商品，下家又期待更下家的钱来实现收益，最终用法币从市场上获得商品和劳务	https://www.zhihu.com/question/488759941/answer/2137722091
C26020	我们应该禁止虚拟货币的交易。	虚拟货币的好，是因为改变了商业变现的方式。虚拟货币的诞生，token体系的设计，将颠覆目前的商业逻辑。每个应用都将有自己的token体系，这意味着，每个人在使用这些应用某些功能时，都将付出相应的token，同时在这个应用中作出了贡献，也可以获得相应的token回报。	https://www.zhihu.com/question/275316850
C26021	我们应该禁止虚拟货币的交易。	加密货币能够改变了价值的传递方式，就是能够让资金流在全世界不受控制的流动。	https://www.zhihu.com/question/275316850
C26022	我们应该禁止虚拟货币的交易。	区块链分布式技术所带来的组织结构取代这是一个多么美好的社会 没有腐败 没有中心化存在的一切弊端。	https://www.zhihu.com/question/275316850
C26023	我们应该禁止虚拟货币的交易。	安全性，虚拟货币身后的管理机制是一套密码算法优化算法，是高宽比数据加密的，实际上每一个连接点有着唯一的一个公钥，大家仅有根据公钥才可以应用和耗费虚拟货币，随后系统软件才可以自主运作，并且它不是被所有人或是组织操纵的。 买卖产生以后，它始终不太可能开展变更和伪造的。	https://zhuanlan.zhihu.com/p/267996177
C26024	我们应该禁止虚拟货币的交易。	总产量是可控性的，因为虚拟货币它是有一套事先设置的优化算法来发售和运作，因此在优化算法开设之初，大家就可以把所发售总产量和发售速率设置好，一旦设置就不能变更，那样的话防止了恶变通胀。	https://zhuanlan.zhihu.com/p/267996177
C26025	我们应该禁止虚拟货币的交易。	便携式，因为它是虚拟货币，因此它买卖得话它便携式很高。	https://zhuanlan.zhihu.com/p/267996177
C26026	我们应该禁止虚拟货币的交易。	虚拟货币它因为是以数据方式存有区块链技术互联网中，大家能够在一切移动智能终端对其开展应用和消費，另外系统软件自主开展认证，那样进一步提高了流动性，提高了经济与社会商品流通的一个高效率。	https://zhuanlan.zhihu.com/p/267996177
C26027	我们应该禁止虚拟货币的交易。	防伪标识，因为钞票它的成本费是很低的，因此生产制造难度系数不高，因此大家防伪标识，严厉打击作假，从法律法规方面每个领域都会遏制，可是虚拟货币它解决了这个问题。 因为它在区块链技术互联网中产生的每一笔买卖全是不能伪造的，而且它不会受到个身体操纵，因此它具备很好的一个防伪标识特性。	https://zhuanlan.zhihu.com/p/267996177
C26028	我们应该禁止虚拟货币的交易。	密名，虚拟货币的买卖是密名的，进而确保他本人的信息内容和数据信息的隐私保护，防止本人数据泄漏，提升系统软件的安全系数。	https://zhuanlan.zhihu.com/p/267996177
C26029	我们应该在网络时代保护自己的隐私。	物联网共享经济时代，因为要链接人和人，人和物，物与物，系统被利用和被黑的概率也是增加的。	https://www.zhihu.com/question/38523233/answer/2097793324
C26030	我们应该在网络时代保护自己的隐私。	如果落入诈骗团伙手里，就重一些，但如果自己足够警觉有基本的防护意识，那也没事，如果落入推销人员手里，基本也没太大关系，无非就是多几条骚扰广告短信。怕就怕自己没有基本防护意识的同时还落入诈骗团伙手里，那就有点倒霉了。	https://www.zhihu.com/question/38523233/answer/2097793324
C26031	我们应该在网络时代保护自己的隐私。	大多数人都必须依赖于中心化的信息发布传播平台发布信息。对于这些中心化的平台而言，其掌握海量兼具广度和深度的数据。当这些数据被少数"精英"控制：对意识形态的输出和控制，社会观念和热点的控制，都易如反掌。	https://www.zhihu.com/question/38523233/answer/2097793324
C26032	我们应该在网络时代保护自己的隐私。	极其严重的信息不对称。个人很难弄清楚自己被采集了什么信息, 这些信息由谁采集, 以及这些信息拿来做了什么。	https://www.zhihu.com/question/38523233/answer/2097793324
C26033	我们应该在网络时代保护自己的隐私。	你几乎无法追回隐私。很难想象企业拿个人信息做了什么, 其中就包括企业究竟把信息卖给了谁。	https://www.zhihu.com/question/38523233/answer/2097793324
C26034	我们应该在网络时代保护自己的隐私。	记录个体的精准数据，能够改善个人生活；记录群体的庞大数据，可以优化资源配置。	https://www.zhihu.com/question/38523233/answer/2097793324
C26035	我们应该在网络时代保护自己的隐私。	数据安全方面。由于云计算服务提供商的承载了多家企业的生产系统，如果出现故障，很容易造成大面积企业受到影响，进而造成更大面积的个人用户受到影响	https://www.zhihu.com/question/38523233/answer/2097793324
C26036	我们应该在网络时代保护自己的隐私。	攻击者可以通过自身安全意识不强的企业用户作为突破口，从木桶的短板进攻，使得同一云平台的其他企业用户同样危险。而且由于公有云服务的接口都暴露在公网上，使得攻击更容易进行。	https://www.zhihu.com/question/38523233/answer/2097793324
C26037	我们应该在网络时代保护自己的隐私。	数据能干的事情太多了，可以用来分析用户喜好和需求，获得对电信网络真实客观的使用反馈，能够快速得知产品有何不足，对应更新更多的业务模式，能够帮助实现业务改善。好的数据能够帮助企业获得更大对竞争力。	https://www.zhihu.com/question/396233825
C26038	我们应该在网络时代保护自己的隐私。	如果一个地区或国家对隐私保护的法律法规过于严苛，很可能导致资本转移到另一个地区或国家	https://www.zhihu.com/question/396233825
C26039	我们应该限制未成年人玩网络游戏。	我国的青少年普遍将电子设备作为学习之余的唯一娱乐。与此同时，欧美的同类人群选择方式更为多样性。	https://www.zhihu.com/question/62073363
C26040	我们应该限制未成年人玩网络游戏。	小孩子沉迷游戏, 本质上可能不是游戏的问题, 而是家庭教育, 孩子习惯, 爱好培养等综合性问题。	https://www.zhihu.com/question/483556099
C26041	我们应该限制未成年人玩网络游戏。	禁止游戏他们可能去沉迷抖音短视频，如果禁止短视频那他们估计也不会消停，甚至可能去外面惹是生非。	https://www.zhihu.com/question/483556099
C26042	我们应该限制未成年人玩网络游戏。	责任依旧在于教育，而这个教育不是应试教育，倒是生涯教育或者是职业教育，就让老师来和学生们随便聊聊，增加对于人生和社会的认识，促进学生的自我觉醒和主动思考，或许会很好吧	https://www.zhihu.com/question/483556099
C26043	我们应该限制未成年人玩网络游戏。	越是学习不好的，反倒容易沉迷于游戏。他们在现实生活中找不到成就感。因为他们的成绩问题，没有人夸赞。所以他们发现游戏可以让很多陌生人给他们点赞的时候，他就从这里找到了成就感。以至于热爱和痴迷游戏。从而形成恶性循环	https://www.zhihu.com/question/483556099
C26044	我们应该限制未成年人玩网络游戏。	多陪陪自己的孩子。或许他们会从你的身上发现你的有趣，发现你的优秀，从而向你靠近。	https://www.zhihu.com/question/483556099
C26045	我们应该限制未成年人玩网络游戏。	长期沉迷网游会改变孩子大脑结构。想象力, 思考力和融会贯通的能力得不到训练。	https://www.zhihu.com/question/483556099
C26046	我们应该限制未成年人玩网络游戏。	将所有责任推给游戏, 妖魔化游戏, 将责任推给社会虽然可以缓解家长的焦虑心理,但完全于事无补。	https://www.zhihu.com/question/483556099
C26047	我们应该限制未成年人玩网络游戏。	娱乐方式只会向下兼容，不会向上兼容，禁了游戏中小学生并不会去下围棋，打篮球，运动，学习，而是只会转向更加低俗化庸俗化危害性更大的娱乐形式	https://www.zhihu.com/question/483556099
C26048	我们应该开放三胎鼓励生育。	要想长久解决生育问题，要从源头抓起：比如给年轻人减轻工作压力、调控稳定房价、给予生育补贴、降低居民医疗教育成本、从法律和职场更多保护女性，等等。	https://www.zhihu.com/question/462396025
C26049	我们应该开放三胎鼓励生育。	人们想要的是能够自主规划生育的权利与自由。	https://www.zhihu.com/question/462396025
C26050	我们应该开放三胎鼓励生育。	其他措施比如给予生育补贴、降低居民医疗教育成本、从法律和职场更多保护女性是更迫在眉睫的。	https://www.zhihu.com/question/462396025
C26051	我们应该开放三胎鼓励生育。	无论社会的政策是怎么样，社会越发展，人们越自由，女性越独立，生育率降低是一种无法避免的趋势	https://www.zhihu.com/question/462396025
C26052	我们应该开放三胎鼓励生育。	生育人口数量过少，影响经济的总增长.	https://www.zhihu.com/question/462396025
C26053	我们应该开放三胎鼓励生育。	卫计委的人原以为开放生育之后人口会大爆炸，但是实际上人们却不愿意生了，无论你是否约束。	https://www.zhihu.com/question/462396025
C26054	我们应该开放三胎鼓励生育。	中国的人口结构已经逐步迈向了老龄化，成为了经济增长的负担	https://www.zhihu.com/question/462396025
C26055	我们应该开放三胎鼓励生育。	阶级固化与青年们继续奋斗欲望的消退，青年们认为怎么努力都追不上房价增长	https://www.zhihu.com/question/462396025
C26056	我们应该反资本垄断。	资本垄断阻碍资源的有效配置，造成资源浪费。	https://www.zhihu.com/question/363230146/answer/973488660
C26057	我们应该反资本垄断。	资本垄断扭曲市场价格，破坏市场公平竞争。	https://www.zhihu.com/question/363230146/answer/973488660
C26058	我们应该反资本垄断。	资本垄断阻碍科技进步，损害消费者利益。	https://www.zhihu.com/question/363230146/answer/973488660
C26059	我们应该反资本垄断。	资本垄断提高其他企业进入门槛，阻碍国民经济高质量发展。	https://www.zhihu.com/question/363230146/answer/973488660
C26060	我们应该反资本垄断。	反垄断的目的不是打击少数垄断企业，而是反对滥用垄断的行为。	https://www.zhihu.com/question/363230146/answer/973488660
C26061	我们应该反资本垄断。	反资本垄断可以避免经营者滥用市场支配地位。	https://www.zhihu.com/question/363230146/answer/973488660
C26062	我们应该反资本垄断。	在需要大量研发投入的领域，垄断利润是科技进步的动力。	https://www.zhihu.com/question/363230146/answer/973488660
C26063	我们应该反资本垄断。	在能源、交通等关乎国计民生的基础设施领域，垄断有时能保护公共利益。	https://www.zhihu.com/question/363230146/answer/973488660
C26064	我们应该反资本垄断。	垄断最大的危害，就在于破坏了竞争，让商家不再需要在乎消费者的感受	https://www.zhihu.com/question/363230146/answer/973488660
C26065	我们应该防止资本无序扩张。	资本结合互联网科技，利用不对称优势这样无节制扩张，抢夺小商、小贩的饭碗，已经构成了对社会基本伦理的侵犯。	https://zhuanlan.zhihu.com/p/336466009
C26066	我们应该防止资本无序扩张。	每一个小商小贩背后，都有一个处于社会基层的家庭要养活，让这些商贩存活下去，不仅事关很多家庭具体而微的生活，还能防止资本与科技联姻通过制造市场垄断，造成社会的结构性贫富分化问题。	https://zhuanlan.zhihu.com/p/336466009
C26067	我们应该防止资本无序扩张。	无论如何，都不能放任资本挟科技之威，利用不对称优势，在这一特殊领域形成垄断地位，让千千万万个小贩被夺掉饭碗。保护他们，就是维护中国社会基层稳定与经济活力。	https://zhuanlan.zhihu.com/p/336466009
C26068	我们应该防止资本无序扩张。	巨头们抢占市场的手段实质是通过低于成本价销售，这是不公平竞争，是先通过金融资本优势（这些钱多数还是从市场上融来了的）巨额补贴，后用垄断地位提高物价，使大量低弹性的民生物品物价脱离供需关系剧烈波动，造成价格信号失真，这本身就脱离了市场经济的本意。	https://zhuanlan.zhihu.com/p/336466009
C26069	我们应该打击不合理高收入。	加强对高收入的规范和调节，依法保护合法收入，合理调节过高收入，鼓励高收入人群和企业更多回报社会。要清理规范不合理收入，整顿收入分配秩序，坚决取缔非法收入。	https://www.zhihu.com/question/480579810/answer/2070649038
C26070	我们应该打击不合理高收入。	个人无法确定自身能够持续高收入以及所在的行业能持续保障员工高收入。	https://www.zhihu.com/question/480579810/answer/2070649038
C26071	我们应该打击不合理高收入。	如果个人生活水平的关键不在于收入，那么单纯调节收入没有用。	https://www.zhihu.com/question/480579810/answer/2070649038
C26072	我们应该打击不合理高收入。	有钱人利用手中的资产优势，以及对金融体系的理解，无形中收割普通群众的财富。把金子转移给自己，把泡沫留给别人。	https://www.zhihu.com/question/480579810/answer/2070649038
C26073	我们应该打击不合理高收入。	有钱人利用手中的财富构建利益网，不断强化和巩固自身利益。阻断他人阶级上升通道。	https://www.zhihu.com/question/480579810/answer/2070649038
C26074	我们应该打击不合理高收入。	调节过高收入、符合共同富裕。共同富裕是全体人民的富裕，是人民群众物质生活和精神生活都富裕，要分阶段促进共同富裕。	https://www.zhihu.com/question/480579810/answer/2070649038
C26075	我们应该打击不合理高收入。	落实房产税、富人税、资本利得税、资产转移税等，过去几十年导致贫富差距悬殊的根本因素不是薪资差距，而是资本投资增长带去的差距。	https://www.zhihu.com/question/480579810/answer/2070649038
C26076	我们应该打击不合理高收入。	比起打击高收入, 更重要的是在分配制度上提升底层人民的收入，另一方面要降低中下层人民的生活成本。	https://www.zhihu.com/question/480579810/answer/2070649038
C26077	我们应该打击不合理高收入。	很难对高收入者征税。毕竟高收入者收入来源多，避税手段也多，实在不行还能移民。普通中产收入来源单一，基本就是工资，容易被收税。	https://www.zhihu.com/question/480579810/answer/2070649038
C26078	我们应该缓解教育内卷。	一个社会对教育的价值观不应该停留在“唯分数”和“唯高考”.	https://zhuanlan.zhihu.com/p/375624815
C26079	我们应该缓解教育内卷。	部分学生认同了社会的人才筛选机制，而社会也在这种人才筛选中反哺了通过独木桥的精英阶层，在毕业生基数依然很大的今天，越来越高的门槛只能让成绩拔尖的人通过；	https://zhuanlan.zhihu.com/p/375624815
C26080	我们应该缓解教育内卷。	家长在教育内卷中扮演着重要角色，定力不足的家长很容易被大环境裹挟，将焦虑情绪带给孩子，造成恶性循环。	https://zhuanlan.zhihu.com/p/375624815
C26081	我们应该缓解教育内卷。	最根本的是要提升父母的基本教育素养，倡导“成人比成才更重要，幸福比成功更重要”的教育理念。	https://zhuanlan.zhihu.com/p/375624815
C26082	我们应该缓解教育内卷。	家长铺天盖地被恐惧支配的焦虑，才是教育最大的敌人；教育的本意，应是让一个人成为更好的自己。	https://zhuanlan.zhihu.com/p/375624815
C26083	我们应该缓解教育内卷。	学生的整体应试能力提高了，但是顶流大学和其他优质教育资源并没有成正比增加，整个教育体系走向互相倾轧、自我消耗的竞争模式，这是教育内卷的症结所在。	https://zhuanlan.zhihu.com/p/375624815
C26084	我们应该大力发展农村。	农村和城市的差距越来越大了，这个也是为什么农村人都往城市里跑的原因，但是这样的结果就是农村荒废了，大量的土地荒芜了，中国的耕地面积日益减少。	https://zhuanlan.zhihu.com/p/54478886
C26085	我们应该大力发展农村。	必须要缩小城市和农村的差距，不然社会矛盾就会加剧	https://zhuanlan.zhihu.com/p/54478886
C26086	我们应该大力发展农村。	城市充满了机会，它给予外出务工人员繁华和便利，每个人都可以凭借自己的力量在城市生活下去，甚至逐渐立足城市。	https://zhuanlan.zhihu.com/p/54478886
C26087	我们应该大力发展农村。	失业和城镇化一结合就是贫民窟和不安定，所以需要让农村成为吸纳失业人口的海绵。	https://zhuanlan.zhihu.com/p/54478886
C26088	我们应该大力发展农村。	未来的农村市场肯定会很繁荣，但是目前是荒芜的，投资创业的风险还是比较高的。这就很大程度上限制住了年轻人的脚步	https://zhuanlan.zhihu.com/p/54478886
C26089	我们应该大力发展农村。	在粮食这个领域我们不能受制于人，即使进口粮食再便宜，我们也不能依靠进口，而要大力发展我国自己的农业化水平。	https://zhuanlan.zhihu.com/p/54478886
C26090	我们应该大力发展农村。	农村没有相关的产业，找不到就业机会，同时教育，医疗，基础设施等配套不齐全，所以我们必须大力发展乡村振兴战略，大力发展相关产业，让年轻人回到农村，让他们在农村发挥自己的才能。	https://zhuanlan.zhihu.com/p/412822065
C26091	碳排放权应该被限制。	中国改革开放以来，经济发展很快，西方国家为了拖延中国发展，借气候变暖搞了限制碳排放权这个问题。	https://www.zhihu.com/question/487529147/answer/2134089573
C26092	碳排放权应该被限制。	西方为了遏制后发国家发展，尤其是遏制中国发展，限制发展中国家的碳排放权。	https://www.zhihu.com/question/487529147/answer/2134089573
C26093	碳排放权应该被限制。	气候变化是人类面临的全球性问题，随着各国二氧化碳排放，温室气体猛增，对生命系统形成威胁。在这一背景下，世界各国以全球协约的方式减排温室气体，我国由此提出碳达峰和碳中和目标。	https://www.zhihu.com/question/487529147/answer/2134089573
C26094	碳排放权应该被限制。	国产制造加工能力与日俱增，同时碳排放量加速攀升。但我国油气资源相对匮乏，发展低碳经济，重塑能源体系具有重要安全意义	https://www.zhihu.com/question/487529147/answer/2134089573
C26095	碳排放权应该被限制。	没有人可以阻止全球变暖，这本来就是地球地质周期的一部分。所以减排二氧化碳等议题就是个伪命题。	https://www.zhihu.com/question/487529147/answer/2134089573
C26096	碳排放权应该被限制。	减少碳排放，首先国家会关闭很多重污染的企业。这些重污染的企业主要是通过燃烧煤炭、石油等化石燃料而造成了对环境的很大污染。	https://www.zhihu.com/question/487529147/answer/2134089573
C26097	碳排放权应该被限制。	国家减少碳排放，会牵引整个国家能源结构的转型。国家对光伏产业、新能源汽车产业的扶持都是为了能源结构转型这样一个目标。	https://www.zhihu.com/question/487529147/answer/2134089573
C26098	碳排放权应该被限制。	在碳排放问题上制定严苛的标准能压制发展中国家产业升级和阻止他们挑战欧盟国家在高端产业的垄断优势。	https://www.zhihu.com/question/487529147/answer/2134089573
C26099	碳排放权应该被限制。	推动全球性的节能减排可以延缓中国低端产业向第三世界国家转移的趋势, 从而巩固制造业大国的地位。	https://www.zhihu.com/question/487529147/answer/2134089573
C26100	碳排放权应该被限制。	积极参与碳排放交易，有助于提升我国的国际形象。	https://www.zhihu.com/question/487529147/answer/2134089573
