Argument ID	URL	Internet Archive timestamp
G01001	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01002	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01003	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01004	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01005	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01006	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01007	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01008	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745
G01009	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529
G01010	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529
G01011	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529
G01012	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529
G01013	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458
G01014	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458
G01015	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458
G01016	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458
G01017	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458
G01018	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458
G01019	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01020	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01021	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01022	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01023	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01024	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01025	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848
G01026	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01027	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01028	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01029	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01030	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01031	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01032	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01033	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211
G01034	https://www.nytimes.com/2020/09/17/opinion/coronavirus-vaccine-trials.html	20220806174520
G01035	https://www.nytimes.com/2020/09/17/opinion/coronavirus-vaccine-trials.html	20220806174520
G01036	https://www.nytimes.com/2020/09/17/opinion/coronavirus-vaccine-trials.html	20220806174520
G01037	https://www.nytimes.com/2020/09/17/opinion/coronavirus-vaccine-trials.html	20220806174520
G01038	https://www.nytimes.com/2020/09/17/opinion/coronavirus-vaccine-trials.html	20220806174520
G01039	https://www.nytimes.com/2020/10/15/opinion/coronavirus-health-courts.html	20220106215611
G01040	https://www.nytimes.com/2020/10/15/opinion/coronavirus-health-courts.html	20220106215611
G01041	https://www.nytimes.com/2020/10/15/opinion/coronavirus-health-courts.html	20220106215611
G01042	https://www.nytimes.com/2020/10/15/opinion/coronavirus-health-courts.html	20220106215611
G01043	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01044	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01045	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01046	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01047	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01048	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01049	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01050	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01051	https://www.nytimes.com/2020/11/10/opinion/pfizer-vaccine-covid.html	20220316141458
G01052	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01053	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01054	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01055	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01056	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01057	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01058	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01059	https://www.nytimes.com/2021/01/28/opinion/covid-vaccine-line.html	20221223225814
G01060	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01061	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01062	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01063	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01064	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01065	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01066	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01067	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01068	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01069	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01070	https://www.nytimes.com/2021/02/15/opinion/ancient-rome-covid.html	20221109001823
G01071	https://www.nytimes.com/2021/03/22/opinion/covid-vaccine-passport-problem.html	20221231114938
G01072	https://www.nytimes.com/2021/03/22/opinion/covid-vaccine-passport-problem.html	20221231114938
G01073	https://www.nytimes.com/2021/03/22/opinion/covid-vaccine-passport-problem.html	20221231114938
G01074	https://www.nytimes.com/2021/03/22/opinion/covid-vaccine-passport-problem.html	20221231114938
G01075	https://www.nytimes.com/2021/03/22/opinion/covid-vaccine-passport-problem.html	20221231114938
G01076	https://www.nytimes.com/2021/05/21/opinion/needle-fear-vaccine-covid.html	20221125121828
G01077	https://www.nytimes.com/2021/05/21/opinion/needle-fear-vaccine-covid.html	20221125121828
G01078	https://www.nytimes.com/2021/05/21/opinion/needle-fear-vaccine-covid.html	20221125121828
G01079	https://www.nytimes.com/2021/05/21/opinion/needle-fear-vaccine-covid.html	20221125121828
G01080	https://www.nytimes.com/2021/05/21/opinion/needle-fear-vaccine-covid.html	20221125121828
